"","Date","ret_theta","ret_Enjin","ret_Decentral","ret_btc"
"1",2018-01-18,0.0649819271853906,0.0482374913683583,-0.0419024916540089,0.025266707476316
"2",2018-01-19,-0.0803837717968972,0.00815665207374883,0.0332256476283201,0.0114807840550171
"3",2018-01-20,0.051321010189717,0.033942168235058,0.0788689002108498,0.105522449673758
"4",2018-01-21,-0.139946266892158,-0.176918043117758,-0.201565950669662,-0.106151623991616
"5",2018-01-22,-0.0721995302125105,-0.0628529696569433,0.000820681211429086,-0.0593742675387645
"6",2018-01-23,-0.0425596144187959,0.097394741215362,0.18040558522111,-0.00577988542365304
"7",2018-01-24,0.370438485996913,0.0425407520106316,-0.0709517359722842,0.0441860972564356
"8",2018-01-25,0.322368962947738,0.246724493903117,0.0508888008263531,-0.00884225936755278
"9",2018-01-26,0.0191828194167738,-0.0633189261629037,-0.0413753737884799,-0.00784639410255572
"10",2018-01-27,-0.0826572336810092,-0.00289331124080738,0.0187595688975102,0.0238202140481611
"11",2018-01-28,0.0665278517511259,-0.0451928754268303,-0.0078938335987313,0.0297606334864113
"12",2018-01-29,-0.0510793677635666,0.00340458055357451,-0.0337028235351229,-0.0424536979806067
"13",2018-01-30,-0.263612815418949,-0.174047722456558,-0.171058841415507,-0.111325153029668
"14",2018-01-31,0.00647550828902621,-0.053543014121566,0.119059360015988,0.0112952004213174
"15",2018-02-01,-0.12350476778123,-0.183175406283713,-0.226288207993682,-0.108457996388728
"16",2018-02-02,-0.113099186343957,-0.0324102441507546,-0.06727191224229,-0.0377562277501244
"17",2018-02-03,0.0904129060966801,0.0554903567392515,0.107778896522108,0.0382326529371486
"18",2018-02-04,-0.211340483449835,-0.188685671390522,-0.0981402676843395,-0.102990837905004
"19",2018-02-05,-0.258876615750815,-0.367874134169356,-0.302986438825227,-0.173982115331249
"20",2018-02-06,0.157682315964597,0.41960416113234,0.233926537968215,0.108709190826632
"21",2018-02-07,-0.119973617036202,-0.168505505859068,0.0652993198034344,-0.0172619060539834
"22",2018-02-08,0.066027954144487,0.130126812070948,0.118770977041402,0.0811541619867011
"23",2018-02-09,0.0897661114265014,0.0777957452329068,0.141054140907412,0.055463550667886
"24",2018-02-10,-0.0882276495845953,-0.0851169093811797,-0.0867912823480457,-0.0132591225225873
